Date,Max Winds(kt),Central Pressure(mb),Landfall Country,Storm Names,Year
1990-08-07,85.0,980.0,Mexico,Diana,1990
1992-08-23,140.0,923.0,Bahamas,Andrew,1992
1992-08-24,130.0,931.0,Bahamas,Andrew,1992
1993-09-20,85.0,970.0,Mexico,Gert,1993
1995-09-05,115.0,945.0,Barbuda,Luis,1995
1995-09-14,70.0,984.0,Dominica,Marilyn,1995
1995-10-11,100.0,958.0,Mexico,Roxanne,1995
1996-07-08,75.0,978.0,British Virgin Islands,Bertha,1996
1996-07-28,75.0,985.0,Nicaragua,Cesar,1996
1996-08-20,65.0,999.0,Mexico,Dolly,1996
1996-08-23,70.0,989.0,Mexico,Dolly,1996
1996-09-10,70.0,989.0,Puerto Rico,Hortense,1996
1996-09-15,70.0,978.0,Canada,Hortense,1996
1996-10-18,85.0,975.0,Cuba,Lili,1996
1996-10-19,90.0,970.0,Bahamas,Lili,1996
1998-09-21,100.0,966.0,Antigua,Georges,1998
1998-09-21,100.0,966.0,St. Kitts,Georges,1998
1998-09-21,100.0,968.0,Puerto Rico,Georges,1998
1998-09-22,105.0,962.0,Dominican Republic,Georges,1998
1998-09-23,65.0,993.0,Cuba,Georges,1998
1998-10-29,70.0,987.0,Honduras,Mitch,1998
1999-08-28,75.0,976.0,Bahamas,Dennis,1999
1999-09-14,105.0,930.0,Bahamas,Floyd,1999
1999-09-14,120.0,932.0,Bahamas,Floyd,1999
1999-10-20,80.0,982.0,Antigua,Jose,1999
1999-11-17,135.0,933.0,US Virgin Islands,Lenny,1999
1999-11-18,110.0,966.0,St. Martin,Lenny,1999
1999-11-19,85.0,975.0,Antigua,Lenny,1999
1999-11-19,75.0,971.0,St. Barthelemy,Lenny,1999
2000-08-22,65.0,993.0,Barbuda,Debby,2000
2000-08-22,65.0,993.0,St. Barthelemy,Debby,2000
2000-08-22,65.0,994.0,British Virgin Islands,Debby,2000
2000-10-02,65.0,988.0,Belize,Keith,2000
2000-10-05,80.0,980.0,Mexico,Keith,2000
2001-10-09,125.0,948.0,Belize,Iris,2001
2001-11-04,120.0,949.0,Cuba,Michelle,2001
2001-11-04,115.0,950.0,Cuba,Michelle,2001
2001-11-05,80.0,973.0,Bahamas,Michelle,2001
2001-11-05,75.0,980.0,Bahamas,Michelle,2001
2002-09-12,80.0,960.0,Canada,Gustav,2002
2002-09-12,65.0,963.0,Canada,Gustav,2002
2002-09-20,75.0,964.0,Cuba,Isidore,2002
2002-09-22,110.0,936.0,Mexico,Isidore,2002
2002-09-30,65.0,986.0,Cayman Islands,Lili,2002
2002-10-01,90.0,971.0,Cuba,Lili,2002
2003-08-16,65.0,986.0,Mexico,Erika,2003
2003-09-29,85.0,973.0,Canada,Juan,2003
2004-08-13,105.0,966.0,Cuba,Charley,2004
2004-09-02,110.0,948.0,Bahamas,Frances,2004
2004-09-03,100.0,954.0,Bahamas,Frances,2004
2004-09-03,95.0,956.0,Bahamas,Frances,2004
2004-09-04,90.0,961.0,Bahamas,Frances,2004
2004-09-16,70.0,985.0,Dominican Republic,Jeanne,2004
2004-09-25,100.0,956.0,Bahamas,Jeanne,2004
2005-07-08,120.0,956.0,Cuba,Dennis,2005
2005-07-08,120.0,941.0,Cuba,Dennis,2005
2005-07-14,75.0,989.0,Grenada,Emily,2005
2005-07-18,115.0,955.0,Mexico,Emily,2005
2005-07-20,110.0,944.0,Mexico,Emily,2005
2005-10-04,70.0,977.0,Mexico,Stan,2005
2005-10-21,130.0,927.0,Mexico,Wilma,2005
2005-10-22,115.0,933.0,Mexico,Wilma,2005
2005-10-30,90.0,970.0,Nicaragua,Beta,2005
2007-08-21,150.0,905.0,Mexico,Dean,2007
2007-08-22,85.0,974.0,Mexico,Dean,2007
2007-09-04,140.0,934.0,Nicaragua,Felix,2007
2007-09-28,65.0,993.0,Mexico,Lorenzo,2007
2008-08-26,70.0,992.0,Haiti,Gustav,2008
2008-08-30,125.0,943.0,Cuba,Gustav,2008
2008-08-30,135.0,941.0,Cuba,Gustav,2008
2008-09-02,75.0,977.0,Turks and Caicos,Hanna,2008
2008-09-07,110.0,947.0,Bahamas,Ike,2008
2008-09-08,115.0,945.0,Cuba,Ike,2008
2008-09-09,70.0,965.0,Cuba,Ike,2008
2008-09-29,65.0,985.0,Canada,Kyle,2008
2008-11-09,85.0,970.0,Cuba,Paloma,2008
2009-11-05,70.0,985.0,Nicaragua,Ida,2009
2010-07-01,95.0,946.0,Mexico,Alex,2010
2010-09-04,65.0,962.0,Canada,Earl,2010
2010-09-21,75.0,950.0,Canada,Igor,2010
2010-09-17,100.0,976.0,Mexico,Karl,2010
2010-10-25,85.0,977.0,Belize,Richard,2010
2010-10-30,85.0,987.0,St. Vincent,Tomas,2010
2011-08-24,100.0,955.0,Bahamas,Irene,2011
2011-08-25,95.0,952.0,Bahamas,Irene,2011
2011-08-25,90.0,950.0,Bahamas,Irene,2011
2012-08-08,80.0,977.0,Mexico,Ernesto,2012
2012-08-08,85.0,973.0,Mexico,Ernesto,2012
2012-08-20,65.0,984.0,Azores,Gordon,2012
2012-10-24,75.0,971.0,Jamaica,Sandy,2012
2012-10-25,100.0,954.0,Cuba,Sandy,2012
2014-10-12,70.0,984.0,Bermuda,Fay,2014
2014-10-13,65.0,990.0,Antigua,Gonzalo,2014
2014-10-13,75.0,984.0,St. Martin,Gonzalo,2014
2014-10-13,75.0,984.0,Anguilla,Gonzalo,2014
2014-10-18,95.0,952.0,Bermuda,Gonzalo,2014
2015-10-01,115.0,942.0,Bahamas,Joaquin,2015
2015-10-02,110.0,940.0,Bahamas,Joaquin,2015
2015-10-02,110.0,942.0,Bahamas,Joaquin,2015
2016-08-04,75.0,979.0,Belize,Earl,2016
2016-10-04,130.0,934.0,Haiti,Matthew,2016
2016-10-05,115.0,949.0,Cuba,Matthew,2016
2016-10-07,115.0,937.0,Bahamas,Matthew,2016
2016-11-24,100.0,975.0,Nicaragua,Otto,2016
2017-08-10,70.0,990.0,Mexico,Franklin,2017
2017-09-06,155.0,914.0,Barbuda,Irma,2017
2017-09-06,155.0,914.0,St. Martin,Irma,2017
2017-09-06,155.0,915.0,British Virgin Islands,Irma,2017
2017-09-08,135.0,924.0,Bahamas,Irma,2017
2017-09-09,145.0,924.0,Cuba,Irma,2017
2017-09-09,65.0,990.0,Mexico,Katia,2017
2017-09-19,145.0,922.0,Dominica,Maria,2017
2017-09-20,135.0,920.0,Puerto Rico,Maria,2017
2019-08-28,65.0,995.0,Virgin Islands,Dorian,2019
2019-08-28,70.0,993.0,Virgin Islands,Dorian,2019
2019-09-01,160.0,910.0,Bahamas,Dorian,2019
2019-09-02,155.0,914.0,Bahamas,Dorian,2019
2020-07-31,70.0,990.0,Bahamas,Isaias,2020
2020-08-01,70.0,987.0,Bahamas,Isaias,2020
2020-09-03,65.0,994.0,Belize,Nana,2020
2020-09-14,85.0,970.0,Bermuda,Paulette,2020
2020-10-03,65.0,978.0,Mexico,Gamma,2020
2020-10-07,90.0,971.0,Mexico,Delta,2020
2020-10-27,75.0,977.0,Mexico,Zeta,2020
2020-11-03,120.0,940.0,Nicaragua,Eta,2020
2020-11-17,125.0,921.0,Nicaragua,Iota,2020
2021-08-19,75.0,978.0,Mexico,Grace,2021
2021-08-21,105.0,967.0,Mexico,Grace,2021
2021-08-27,70.0,987.0,Cuba,Ida,2021
2021-08-27,70.0,988.0,Cuba,Ida,2021
2022-09-18,75.0,986.0,Puerto Rico,Fiona,2022
2022-09-19,80.0,976.0,Dominican Republic,Fiona,2022
2022-09-20,100.0,962.0,Turks and Caicos,Fiona,2022
2022-09-27,110.0,947.0,Cuba,Ian,2022
2022-10-09,75.0,982.0,Nicaragua,Julia,2022
2022-11-09,65.0,980.0,Bahamas,Nicole,2022
